E (eV)  dos(E)      O 2p(E)    Ti 3d(E)   
12.400  0.212E+01  0.125E+00  0.168E+01
12.500  0.260E+01  0.162E+00  0.205E+01
12.600  0.303E+01  0.196E+00  0.237E+01
12.700  0.197E+01  0.123E+00  0.155E+01
12.800  0.123E+01  0.706E-01  0.971E+00
12.900  0.161E+01  0.746E-01  0.131E+01
13.000  0.554E+01  0.906E-01  0.490E+01
13.100  0.901E+01  0.128E+00  0.801E+01
13.200  0.542E+01  0.203E+00  0.457E+01
13.300  0.354E+01  0.176E+00  0.288E+01
13.400  0.133E+01  0.459E-01  0.112E+01
13.500  0.771E+00  0.213E-01  0.652E+00
13.600  0.920E+00  0.293E-01  0.765E+00
13.700  0.841E+00  0.298E-01  0.693E+00
13.800  0.460E+00  0.189E-01  0.371E+00
13.900  0.106E+01  0.472E-01  0.844E+00
14.000  0.620E+00  0.281E-01  0.490E+00
14.100  0.575E+00  0.301E-01  0.432E+00
14.200  0.144E+01  0.556E-01  0.807E+00
14.300  0.272E+01  0.275E-01  0.359E+00
14.400  0.374E+01  0.598E-01  0.675E+00
14.500  0.283E+01  0.566E-01  0.616E+00
14.600  0.205E+01  0.533E-01  0.510E+00
14.700  0.265E+01  0.881E-01  0.834E+00
14.800  0.207E+01  0.710E-01  0.704E+00
14.900  0.248E+01  0.111E+00  0.104E+01
15.000  0.224E+01  0.824E-01  0.650E+00
15.100  0.122E+01  0.393E-01  0.218E+00
15.200  0.126E+01  0.684E-01  0.378E+00
15.300  0.151E+01  0.508E-01  0.189E+00
15.400  0.151E+01  0.624E-01  0.329E+00
15.500  0.104E+01  0.623E-01  0.274E+00
15.600  0.137E+01  0.699E-01  0.278E+00
15.700  0.175E+01  0.744E-01  0.332E+00
15.800  0.161E+01  0.802E-01  0.296E+00
15.900  0.288E+01  0.864E-01  0.370E+00
16.000  0.426E+01  0.120E+00  0.462E+00
16.100  0.422E+01  0.129E+00  0.455E+00
16.200  0.329E+01  0.884E-01  0.141E+00
16.300  0.240E+01  0.560E-01  0.201E-01
16.400  0.187E+01  0.321E-01  0.384E-01
