E (eV)  dos(E)      ldos(E)    ldos(E)  
10.111  0.263E+00  0.101E+00  0.279E-01
10.211  0.149E+00  0.572E-01  0.159E-01
10.311  0.267E-01  0.944E-02  0.356E-02
10.411  0.304E+00  0.101E+00  0.468E-01
10.511  0.826E+00  0.274E+00  0.127E+00
10.611  0.303E+00  0.101E+00  0.466E-01
10.711  0.173E-01  0.565E-02  0.273E-02
10.811  0.659E-01  0.194E-01  0.124E-01
10.911  0.265E+00  0.778E-01  0.499E-01
11.011  0.144E+00  0.423E-01  0.272E-01
11.111  0.117E-01  0.341E-02  0.223E-02
11.211  0.690E-01  0.182E-01  0.147E-01
11.311  0.593E+00  0.157E+00  0.126E+00
11.411  0.690E+00  0.182E+00  0.147E+00
11.511  0.109E+00  0.287E-01  0.232E-01
11.611  0.671E-02  0.167E-02  0.151E-02
11.711  0.944E-01  0.227E-01  0.219E-01
11.811  0.275E+00  0.660E-01  0.636E-01
11.911  0.108E+00  0.260E-01  0.251E-01
12.011  0.772E-02  0.181E-02  0.181E-02
12.111  0.979E-01  0.215E-01  0.240E-01
12.211  0.668E+00  0.146E+00  0.164E+00
12.311  0.617E+00  0.135E+00  0.151E+00
12.411  0.772E-01  0.169E-01  0.189E-01
12.511  0.122E-01  0.246E-02  0.310E-02
12.611  0.146E+00  0.291E-01  0.372E-01
12.711  0.264E+00  0.527E-01  0.672E-01
12.811  0.648E-01  0.129E-01  0.165E-01
12.911  0.209E-01  0.379E-02  0.542E-02
13.011  0.338E+00  0.606E-01  0.878E-01
13.111  0.823E+00  0.148E+00  0.214E+00
13.211  0.272E+00  0.488E-01  0.707E-01
13.311  0.272E-01  0.451E-02  0.703E-02
13.411  0.168E+00  0.259E-01  0.431E-01
13.511  0.256E+00  0.392E-01  0.652E-01
13.611  0.275E+00  0.180E-01  0.377E-01
13.711  0.191E+01  0.931E-01  0.222E+00
13.811  0.314E+01  0.144E+00  0.358E+00
13.911  0.238E+01  0.101E+00  0.276E+00
14.011  0.102E+01  0.477E-01  0.131E+00
14.111  0.988E-01  0.476E-02  0.131E-01
14.211  0.150E-02  0.721E-04  0.199E-03
14.311  0.326E-05  0.156E-06  0.431E-06
